name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;369;0;369;3049;1029;3049;1029;0
header;223;174;223;208;1857;208;1857;174
D;394;239;394;257;407;257;407;239
A;617;528;617;533;621;533;621;528
B;400;606;400;624;414;624;414;606
A;436;654;436;654;436;654;436;654
D;927;1056;927;1071;935;1071;935;1056
A;859;1305;859;1331;866;1331;866;1305
D;496;1762;496;1781;510;1781;510;1762
B;591;2112;591;2131;605;2131;605;2112
B;1015;2600;1015;2619;1030;2619;1030;2600
A;527;2768;527;2793;534;2793;534;2768
B;779;2776;779;2794;804;2794;804;2776
