name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;303;0;349;3065;927;3065;881;0
header;62;137;62;171;1671;171;1671;137
A;841;195;841;223;864;223;864;195
A;595;276;595;276;595;276;595;276
A;649;655;649;662;655;662;655;655
B;858;867;858;896;880;896;880;867
A;622;928;622;935;629;935;629;928
A;384;930;384;933;390;933;390;930
A;692;974;692;980;698;980;698;974
D;831;1156;831;1175;842;1175;842;1156
C;863;1543;863;1574;886;1574;886;1543
A;384;1663;384;1669;390;1669;390;1663
A;532;1802;532;1808;538;1808;538;1802
A;838;1931;838;1957;852;1957;852;1931
D;873;2219;873;2246;895;2246;895;2219
A;722;2305;722;2320;730;2320;730;2305
A;845;2349;845;2366;854;2366;854;2349
